date,instrument,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,quantity,points,pnl_inr,brokerage,stt,exchange_txn_charges,sebi_charges,stamp_duty,gst,total_charges,net_pnl_inr,equity_before,equity_after,withdrawn_to_date,withdrawal_here,realized_net_to_date
2024-01-03,BANKNIFTY,SHORT,2024-01-03 12:05:00+05:30,47715.39,2024-01-03 12:26:00+05:30,47567.54,TP,30,147.86,4435.78,20.0,715.73,52.31,2.86,28.54,13.02,832.46,3603.32,403038.22,406641.53,0.0,False,206641.51
2024-01-03,BANKNIFTY,LONG,2024-01-03 12:50:00+05:30,47649.1,2024-01-03 15:05:00+05:30,47680.34,EARLY_EXIT,30,31.24,937.2,20.0,715.21,52.34,2.86,28.59,13.02,832.01,105.19,406641.53,406746.72,0.0,False,206746.7
2024-01-10,BANKNIFTY,LONG,2024-01-10 13:50:00+05:30,47239.95,2024-01-10 14:00:00+05:30,47353.2,TP,30,113.25,3397.5,20.0,710.3,51.93,2.84,28.34,12.95,826.36,2571.14,406746.72,409317.86,0.0,False,209317.84
2024-01-18,BANKNIFTY,SHORT,2024-01-18 11:35:00+05:30,45923.21,2024-01-18 11:55:00+05:30,45947.05,EARLY_EXIT,30,-23.84,-715.05,20.0,688.85,50.44,2.76,27.57,12.68,802.29,-1517.34,409317.86,407800.52,0.0,False,207800.5
2024-01-20,BANKNIFTY,LONG,2024-01-20 10:10:00+05:30,45761.61,2024-01-20 10:11:00+05:30,45746.76,SL,30,-14.85,-445.5,20.0,686.2,50.24,2.75,27.46,12.64,799.28,-1244.78,407800.52,406555.74,0.0,False,206555.72
2024-01-24,BANKNIFTY,LONG,2024-01-24 09:30:00+05:30,44951.68,2024-01-24 09:58:00+05:30,45336.72,TP,30,385.04,11551.06,20.0,680.05,49.57,2.71,26.97,12.52,791.82,10759.24,406555.74,417314.99,0.0,False,217314.96
2024-01-25,BANKNIFTY,SHORT,2024-01-25 09:30:00+05:30,45059.29,2024-01-25 10:16:00+05:30,44792.54,TP,30,266.75,8002.35,20.0,675.89,49.33,2.7,26.88,12.48,787.27,7215.08,417314.99,424530.07,0.0,False,224530.04
2024-01-31,BANKNIFTY,LONG,2024-01-31 09:40:00+05:30,45230.89,2024-01-31 10:04:00+05:30,45516.15,TP,30,285.25,8557.61,20.0,682.74,49.82,2.72,27.14,12.57,794.99,7762.62,424530.07,432292.68,0.0,False,232292.66
2024-02-05,BANKNIFTY,SHORT,2024-02-05 12:00:00+05:30,45920.09,2024-02-05 12:40:00+05:30,45909.75,EARLY_EXIT,30,10.34,310.05,20.0,688.8,50.41,2.75,27.55,12.67,802.19,-492.14,432292.68,431800.54,0.0,False,231800.52
2024-02-05,BANKNIFTY,SHORT,2024-02-05 13:20:00+05:30,45980.35,2024-02-05 13:50:00+05:30,45981.99,EARLY_EXIT,30,-1.64,-49.05,20.0,689.71,50.49,2.76,27.59,12.69,803.23,-852.28,431800.54,430948.26,0.0,False,230948.24
2024-02-09,BANKNIFTY,LONG,2024-02-09 10:00:00+05:30,45037.34,2024-02-09 11:00:00+05:30,45200.76,EARLY_EXIT,30,163.43,4902.75,20.0,678.01,49.54,2.71,27.02,12.52,789.8,4112.95,430948.26,435061.21,0.0,False,235061.19
2024-02-16,BANKNIFTY,LONG,2024-02-16 14:30:00+05:30,46488.58,2024-02-16 15:00:00+05:30,46470.58,EARLY_EXIT,30,-18.0,-539.85,20.0,697.06,51.03,2.79,27.89,12.79,811.56,-1351.41,435061.21,433709.8,0.0,False,233709.78
2024-02-19,BANKNIFTY,LONG,2024-02-19 10:00:00+05:30,46411.36,2024-02-19 11:16:00+05:30,46649.7,TP,30,238.34,7150.26,20.0,699.75,51.09,2.79,27.85,12.8,814.27,6335.99,433709.8,440045.79,0.0,False,240045.77
2024-02-21,BANKNIFTY,LONG,2024-02-21 11:35:00+05:30,47061.78,2024-02-21 12:57:00+05:30,47293.87,TP,30,232.09,6962.62,20.0,709.41,51.8,2.83,28.24,12.92,825.2,6137.42,440045.79,446183.21,0.0,False,246183.19
2024-02-23,BANKNIFTY,LONG,2024-02-23 11:00:00+05:30,46920.12,2024-02-23 11:50:00+05:30,46971.11,EARLY_EXIT,30,51.0,1530.0,20.0,704.57,51.55,2.82,28.15,12.88,819.96,710.04,446183.21,446893.25,0.0,False,246893.23
2024-02-23,BANKNIFTY,LONG,2024-02-23 12:05:00+05:30,46998.19,2024-02-23 12:15:00+05:30,46971.07,EARLY_EXIT,30,-27.12,-813.45,20.0,704.57,51.59,2.82,28.2,12.89,820.06,-1633.51,446893.25,445259.74,0.0,False,245259.72
2024-02-23,BANKNIFTY,LONG,2024-02-23 12:20:00+05:30,46964.03,2024-02-23 12:26:00+05:30,47061.47,TP,30,97.44,2923.2,20.0,705.92,51.62,2.82,28.18,12.89,821.43,2101.77,445259.74,447361.51,0.0,False,247361.49
2024-02-27,BANKNIFTY,LONG,2024-02-27 11:20:00+05:30,46433.4,2024-02-27 12:00:00+05:30,46482.25,EARLY_EXIT,30,48.85,1465.5,20.0,697.23,51.01,2.79,27.86,12.78,811.67,653.83,447361.51,448015.34,0.0,False,248015.32
2024-02-29,BANKNIFTY,LONG,2024-02-29 09:50:00+05:30,45897.5,2024-02-29 10:05:00+05:30,46042.04,EARLY_EXIT,30,144.54,4336.2,20.0,690.63,50.47,2.76,27.54,12.69,804.09,3532.11,448015.34,451547.45,0.0,False,251547.43
2024-03-04,BANKNIFTY,LONG,2024-03-04 12:10:00+05:30,47300.4,2024-03-04 12:14:00+05:30,47260.99,SL,30,-39.42,-1182.45,20.0,708.91,51.91,2.84,28.38,12.94,824.99,-2007.44,451547.45,449540.01,0.0,False,249539.99
2024-03-04,BANKNIFTY,LONG,2024-03-04 12:55:00+05:30,47312.1,2024-03-04 14:11:00+05:30,47451.3,TP,30,139.2,4176.0,20.0,711.77,52.03,2.84,28.39,12.96,827.99,3348.01,449540.01,452888.02,0.0,False,252888.0
2024-03-12,BANKNIFTY,LONG,2024-03-12 09:30:00+05:30,47223.15,2024-03-12 09:33:00+05:30,47301.75,TP,30,78.6,2358.0,20.0,709.53,51.89,2.84,28.33,12.94,825.53,1532.47,452888.02,454420.49,0.0,False,254420.47
2024-03-12,BANKNIFTY,SHORT,2024-03-12 12:45:00+05:30,47355.05,2024-03-12 13:10:00+05:30,47340.89,EARLY_EXIT,30,14.16,424.8,20.0,710.33,51.99,2.84,28.4,12.96,826.52,-401.72,454420.49,454018.77,0.0,False,254018.75
2024-03-26,BANKNIFTY,SHORT,2024-03-26 11:55:00+05:30,46716.6,2024-03-26 12:45:00+05:30,46720.9,EARLY_EXIT,30,-4.3,-129.15,20.0,700.75,51.3,2.8,28.03,12.83,815.72,-944.87,454018.77,453073.9,0.0,False,253073.88
2024-04-02,BANKNIFTY,LONG,2024-04-02 13:20:00+05:30,47574.05,2024-04-02 13:45:00+05:30,47580.39,EARLY_EXIT,30,6.34,190.2,20.0,713.71,52.24,2.85,28.54,13.0,830.35,-640.15,453073.9,452433.75,0.0,False,252433.73
2024-04-03,BANKNIFTY,LONG,2024-04-03 14:20:00+05:30,47580.4,2024-04-03 14:34:00+05:30,47537.1,SL,30,-43.3,-1299.1,20.0,713.06,52.22,2.85,28.55,13.0,829.68,-2128.78,452433.75,450304.97,0.0,False,250304.95
2024-04-04,BANKNIFTY,LONG,2024-04-04 11:00:00+05:30,47857.24,2024-04-04 13:31:00+05:30,48101.63,TP,30,244.38,7331.41,20.0,721.52,52.68,2.88,28.71,13.08,838.88,6492.53,450304.97,456797.5,0.0,False,256797.48
